,id,intakedate,intakereason,sheltercode,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype
0,15801,2009-11-28 00:00:00,Moving,C09115463,Domestic Short Hair,Multi colours,Cat,9 years 2 months.,Female,Adoptable Cat Glass Colony,2017-05-13 00:00:00,Adoption
3,30812,2013-01-11 00:00:00,Abandoned,C1301091,Domestic Short Hair,Multi colours,Cat,8 years 11 months.,Female,Stray Cats,2017-04-18 00:00:00,Foster
4,30812,2013-01-11 00:00:00,Abandoned,C1301091,Domestic Short Hair,Multi colours,Cat,8 years 11 months.,Female,Stray Cats,2018-05-29 00:00:00,Adoption
12,46437,2016-10-26 00:00:00,Abandoned,C16103406,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,2017-03-25 00:00:00,Foster
13,46437,2016-10-26 00:00:00,Abandoned,C16103406,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Stray Cats,2017-04-07 00:00:00,Adoption
15,47120,2017-01-11 00:00:00,Abandoned,C17011137,Domestic Long Hair,Designer colors,Cat,5 years 0 months.,Female,Foster,2017-01-18 00:00:00,Foster
16,47120,2017-01-11 00:00:00,Abandoned,C17011137,Domestic Long Hair,Designer colors,Cat,5 years 0 months.,Female,Foster,2017-05-13 00:00:00,Adoption
24,47198,2017-01-22 00:00:00,Abandoned,C17011213,Domestic Short Hair,White mix,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,2017-02-03 00:00:00,Foster
25,47198,2017-01-22 00:00:00,Abandoned,C17011213,Domestic Short Hair,White mix,Cat,3 years 3 months.,Female,Adoptable Cat Glass Colony,2017-06-22 00:00:00,Adoption
27,47248,2017-01-27 00:00:00,Abandoned,C17011263,Domestic Short Hair,Black,Cat,9 years 11 months.,Male,Foster,2017-02-15 00:00:00,Foster
28,47248,2017-01-27 00:00:00,Abandoned,C17011263,Domestic Short Hair,Black,Cat,9 years 11 months.,Male,Foster,2017-06-02 00:00:00,Adoption
29,47277,2017-01-31 00:00:00,Abandoned,C17011292,Domestic Short Hair,Black and other colours mix,Cat,3 years 10 months.,Female,Adoptable Cat Glass Colony,2017-04-05 00:00:00,Adoption
30,47290,2017-02-01 00:00:00,Abandoned,C17021304,Domestic Short Hair,Multi colours,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,2017-03-29 00:00:00,Foster
31,47290,2017-02-01 00:00:00,Abandoned,C17021304,Domestic Short Hair,Multi colours,Cat,3 years 4 months.,Female,Adoptable Cat Big Colony,2017-06-22 00:00:00,Adoption
33,47360,2017-02-11 00:00:00,Abandoned,C17021370,Domestic Short Hair,Designer colors,Cat,16 years 3 months.,Female,Office,2017-03-07 00:00:00,Foster
34,47360,2017-02-11 00:00:00,Abandoned,C17021370,Domestic Short Hair,Designer colors,Cat,16 years 3 months.,Female,Office,2017-04-25 00:00:00,Foster
35,47360,2017-02-11 00:00:00,Abandoned,C17021370,Domestic Short Hair,Designer colors,Cat,16 years 3 months.,Female,Office,2017-06-12 00:00:00,Foster
36,47395,2017-02-13 00:00:00,Abandoned,C17021405,Domestic Short Hair,Multi colours,Cat,13 years 9 months.,Female,Adoptable Cat Big Colony,2017-04-11 00:00:00,Adoption
43,47429,2017-02-18 00:00:00,Abandoned,C17021438,Domestic Short Hair,Grey,Cat,11 years 9 months.,Female,Office,2017-03-05 00:00:00,Foster
44,47429,2017-02-18 00:00:00,Abandoned,C17021438,Domestic Short Hair,Grey,Cat,11 years 9 months.,Female,Office,2017-04-26 00:00:00,Adoption
49,47510,2017-02-28 00:00:00,Abandoned,C17021519,Domestic Short Hair,Black and other colours mix,Cat,2 years 8 months.,Female,Adoptable Cat Big Colony,2017-04-02 00:00:00,Adoption
50,47511,2017-02-28 00:00:00,Abandoned,C17021520,Domestic Short Hair,Grey,Cat,4 years 2 months.,Female,Adoptable Cat Small Colony,2017-04-01 00:00:00,Adoption
51,47520,2017-03-02 00:00:00,Abandoned,C17031529,Domestic Short Hair,Black and other colours mix,Cat,3 years 10 months.,Male,Adoptable Cat Big Colony,2017-04-04 00:00:00,Adoption
52,47521,2017-03-02 00:00:00,Abandoned,C17031530,Domestic Short Hair,White mix,Cat,3 years 10 months.,Male,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption
54,47539,2017-03-04 00:00:00,Abandoned,C17031548,Domestic Short Hair,White mix,Cat,4 years 9 months.,Male,Adoptable Cat Glass Colony,2017-04-01 00:00:00,Adoption
55,47540,2017-03-04 00:00:00,Abandoned,C17031549,Domestic Short Hair,Black,Cat,1 year 11 months.,Male,Adoptable Cat Glass Colony,2017-04-01 00:00:00,Adoption
58,47562,2017-03-06 00:00:00,Abandoned,C17031571,Domestic Short Hair,White,Cat,6 years 8 months.,Male,Adoptable Cat Kennels,2017-03-31 00:00:00,Adoption
69,47595,2017-03-09 00:00:00,Owner Deceased,C17031604,Domestic Short Hair,Black and other colours mix,Cat,8 years 8 months.,Female,Adoptable Cat Big Colony,2017-06-16 00:00:00,Adoption
73,47617,2017-03-10 00:00:00,Abandoned,C17031624,Domestic Short Hair,White mix,Cat,5 years 8 months.,Female,Adoptable Cat Kennels,2017-04-07 00:00:00,Adoption
74,47627,2017-03-11 00:00:00,Abandoned,C17031634,Domestic Short Hair,Designer colors,Cat,1 year 9 months.,Male,Feline Nursery,2017-04-06 00:00:00,Foster
75,47627,2017-03-11 00:00:00,Abandoned,C17031634,Domestic Short Hair,Designer colors,Cat,1 year 9 months.,Male,Feline Nursery,2017-05-14 00:00:00,Adoption
76,47628,2017-03-11 00:00:00,Abandoned,C17031635,Domestic Short Hair,Designer colors,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster
77,47628,2017-03-11 00:00:00,Abandoned,C17031635,Domestic Short Hair,Designer colors,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,2017-05-18 00:00:00,Adoption
78,47629,2017-03-11 00:00:00,Abandoned,C17031636,Domestic Short Hair,Designer colors,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,2017-04-06 00:00:00,Foster
79,47629,2017-03-11 00:00:00,Abandoned,C17031636,Domestic Short Hair,Designer colors,Cat,1 year 9 months.,Male,Adoptable Cat Kennels,2017-05-18 00:00:00,Adoption
80,47630,2017-03-11 00:00:00,Abandoned,C17031637,Domestic Short Hair,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,2017-04-06 00:00:00,Foster
81,47630,2017-03-11 00:00:00,Abandoned,C17031637,Domestic Short Hair,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,2017-04-18 00:00:00,Foster
82,47630,2017-03-11 00:00:00,Abandoned,C17031637,Domestic Short Hair,Orange,Cat,1 year 9 months.,Male,Adoptable Cat Small Colony,2017-05-16 00:00:00,Foster
